COUNTRY,CODE_TIME,TIME,YEAR,MONTH,MONTH_NAME,PRODUCT,VALUE,DISPLAY_ORDER,yearToDate,previousYearToDate,share,Continent
Chile,DEC2013,December 2013,2013,12,December,Wind,42.799,2,553.0,409.0,0.007181396928438,South America
Chile,DEC2013,December 2013,2013,12,December,Solar,1.322,3,8.0,,0.0002218230972544,South America
Chile,JAN2014,January 2014,2014,1,January,Hydro,1859.865,1,22814.0,1758.742,0.3159261256746829,South America
Chile,JAN2014,January 2014,2014,1,January,Wind,68.522,2,1441.001,15.387,0.0116394953308334,South America
Chile,JAN2014,January 2014,2014,1,January,Solar,5.528,3,479.999,,0.0009390141879811,South America
Colombia,JAN2014,January 2014,2014,1,January,Hydro,3903.977,1,47249.092,,0.6845822883630496,South America
Colombia,JAN2014,January 2014,2014,1,January,Wind,5.648,2,69.482,,0.0009904056209026,South America
Colombia,JAN2014,January 2014,2014,1,January,Solar,1.065,3,8.947,,0.0001867531845363,South America
Chile,FEB2014,February 2014,2014,2,February,Hydro,1381.383,1,22814.0,3199.822,0.2561718252773158,South America
Chile,FEB2014,February 2014,2014,2,February,Wind,81.769,2,1441.001,49.239,0.0151637264836043,South America
Chile,FEB2014,February 2014,2014,2,February,Solar,19.629,3,479.999,,0.0036401177358983,South America
Colombia,FEB2014,February 2014,2014,2,February,Hydro,3598.26,1,47249.092,,0.6707090212978531,South America
Colombia,FEB2014,February 2014,2014,2,February,Wind,5.415,2,69.482,,0.0010093460034371,South America
Colombia,FEB2014,February 2014,2014,2,February,Solar,0.831,3,8.947,,0.0001548968659014,South America
Chile,MAR2014,March 2014,2014,3,March,Hydro,1381.592,1,22814.0,4525.418,0.2325117846931099,South America
Chile,MAR2014,March 2014,2014,3,March,Wind,75.237,2,1441.001,89.685,0.0126618344235892,South America
Chile,MAR2014,March 2014,2014,3,March,Solar,34.38,3,479.999,0.527,0.0057859014511875,South America
Colombia,MAR2014,March 2014,2014,3,March,Hydro,4205.913,1,47249.092,,0.7211148192503576,South America
Colombia,MAR2014,March 2014,2014,3,March,Wind,6.189,2,69.482,,0.001061120288589,South America
Colombia,MAR2014,March 2014,2014,3,March,Solar,0.665,3,8.947,,0.0001140159948152,South America
Chile,APR2014,April 2014,2014,4,April,Hydro,1392.821,1,22814.0,5827.673,0.2496131663583586,South America
Chile,APR2014,April 2014,2014,4,April,Wind,78.477,2,1441.001,127.7,0.0140641851726136,South America
Chile,APR2014,April 2014,2014,4,April,Solar,32.418,3,479.999,1.004,0.0058097627957973,South America
Colombia,APR2014,April 2014,2014,4,April,Hydro,3615.005,1,47249.092,,0.6510123182525593,South America
